name,artifact_dir,method_file,approach_instance_key,family,llm_based,shared_base_model,generated_sample_count,source_average_precision,source_average_recall,source_average_f1,headline_note
GRID_Ours (Task-bank),grid_task_bank,GRID_Ours.py,GRID_two_steps_v2__e317548d844af295,GRID post-trained extractor (Task-bank Reward),True,Qwen3-4B-Instruct-2507,249,84.62,64.91,68.53,Primary GRID system: Task-bank Reward. Best source-averaged recall (64.91%) and competitive Avg F1 (68.53%).
GRID_Ours (End2End),grid_end2end,GRID_Ours.py,GRID_two_steps_v2__764c1ab0c67006a2,GRID post-trained extractor (End2End Reward),True,Qwen3-4B-Instruct-2507,249,76.91,53.85,58.06,"Secondary GRID system: End2End Reward. Avg F1 58.06%, higher online judge cost than Task-bank."
CTINexus,ctinexus,Approach_CTINexus.py,Approach_CTINexus__eace15bd0372d0fa,multi-step CTI extraction pipeline,True,Qwen3-4B-Instruct-2507,249,85.52,63.47,68.66,"Near-tied best Avg F1, but lower recall and higher multi-step inference cost than GRID_Ours."
LLM-CAKG,llm_cakg,Approach_llm_akg.py,Approach_llm_akg__7b89fe12261070c5,LLM-based CTI graph construction baseline,True,Qwen3-4B-Instruct-2507,249,80.96,56.29,62.04,"Strong precision and competitive Avg F1, but still below Task-bank Reward."
Cognee,cognee,Approach_cognee.py,Approach_cognee__20bb79ef4131354b,graph-memory / graph-processing baseline,True,Qwen3-4B-Instruct-2507,249,60.35,47.36,46.94,Moderate recall but clearly below the top GRID_Ours and CTINexus systems.
CTIKG,ctikg,Approach_GTIKGResearch.py,Approach_GTIKGResearch__77669740fbf878d7,prior CTI knowledge graph extraction baseline,True,Qwen3-4B-Instruct-2507,249,83.54,35.58,44.91,High precision but much lower recall than the main GRID_Ours systems.
Graphiti,graphiti,Approach_graphiti.py,Approach_graphiti__b6c34a497ca218f9,graph-construction baseline,True,Qwen3-4B-Instruct-2507,249,71.45,34.32,42.13,Recall and Avg F1 fall far below the stronger CTI-specialized methods.
GraphRAG,graphrag,Approach_graphrag.py,Approach_graphrag__c76591eb9e8574b8,retrieval-and-graph baseline,True,Qwen3-4B-Instruct-2507,249,85.54,24.7,32.09,"Highest average precision in the table, but recall collapse drives low Avg F1."
AttacKG+,attackg_plus,Approach_AttacKG_plus.py,Approach_AttacKG_plus__68407ea862d683d9,attack-graph baseline,True,Qwen3-4B-Instruct-2507,249,35.04,27.82,24.25,"Low source-averaged precision, recall, and Avg F1 in the unified benchmark."
KnowGL,knowgl,Approach_knowgl.py,Approach_knowgl__799485be3cdf7d2b,non-LLM graph learning baseline,False,,249,26.93,2.28,2.96,"Only retained non-LLM baseline in the main table, with very low recall and Avg F1."
